u,v,key,osmid,highway,name,oneway,ref,reversed,length,lanes,maxspeed,tunnel,width
1105125191,565362081,0,39520581,unclassified,銀座コリドー通り,True,,False,109.54362137137029,,,,
1105125191,2135828550,0,240595359,tertiary,,False,,False,50.34601575048142,2,,,
1105125227,1105125583,0,95274326,unclassified,銀座三原通り,True,,False,132.51447186745364,,,,
1105125227,598438981,0,240392370,unclassified,銀座マロニエ通り,True,,False,53.152230898889655,,,,
1105125307,1105125515,0,539237084,primary,晴海通り,True,304,False,15.083063586853516,3,,,
1105125419,1105125628,0,157296623,unclassified,,True,,False,64.26804194704259,,,,
1105125419,1105152945,0,342481198,unclassified,,True,,False,96.77247817882343,,,,
1105125467,598438986,0,95274316,unclassified,,True,,False,42.221456676519466,,,,
1105125467,1105125170,0,856631371,unclassified,,True,,False,132.14282108525506,1,30,,
1105125486,2153861395,0,1245989824,primary,昭和通り,True,316,False,33.82512945892007,,,,
1105125509,1105125075,0,46869645,unclassified,あづま通り,True,,False,146.06369231611723,,30,,
1105125509,1105125539,0,95277526,unclassified,銀座柳通り,True,,False,41.418432507745166,,,,
1105125515,31254306,0,539237084,primary,晴海通り,True,304,False,47.549633301792625,3,,,
1105125516,1105125707,0,968060910,tertiary,銀座桜通り,False,,False,10.518241942390954,,,,
1105125516,31255183,0,968060910,tertiary,銀座桜通り,False,,True,31.35212610008565,,,,
1105125539,1105125227,0,95274326,unclassified,銀座三原通り,True,,False,131.4655928174709,,,,
1105125539,1105125670,0,95277526,unclassified,銀座柳通り,True,,False,29.699434839349784,,,,
1105125583,1105125140,0,"[723855277, 95274326]",unclassified,銀座三原通り,True,,False,104.81783119294295,,,,
1105125583,951247044,0,342481201,unclassified,松屋通り,True,,False,29.019556656808412,,,,
1105125625,475008839,0,4848930,tertiary,御門通り,True,,False,51.123676016262735,,,,
1105125625,31254332,0,196380141,trunk,中央通り,True,15,False,136.3808047813543,2,50,,
1105125628,1105125657,0,157296623,unclassified,,True,,False,27.281646305477956,,,,
1105125645,951247044,0,46869642,unclassified,,True,,False,95.62884705522319,,,,
1105125645,1105125307,0,95274341,unclassified,,True,,False,42.35355170129857,,,,
1105125657,1105125486,0,157296623,unclassified,,True,,False,60.69919574853766,,,,
1105125657,31255186,0,240392347,unclassified,木挽町仲通り,True,,False,94.85942154239358,,,,
1105125670,1105125749,0,95277526,unclassified,銀座柳通り,True,,False,40.74877085609965,,,,
1105125670,1105125516,0,46869642,unclassified,,True,,False,149.67390415599618,,,,
1105125707,499185613,0,968060910,tertiary,銀座桜通り,False,,False,16.906763112495373,,,,
1105125707,1105125516,0,968060910,tertiary,銀座桜通り,False,,True,10.518241942390954,,,,
1105125749,1070638617,0,95277526,unclassified,銀座柳通り,True,,False,52.38667707231522,,,,
1105125749,1105125467,0,856631371,unclassified,,True,,False,131.1831991734805,1,30,,
1105152856,1105152881,0,1070720646,tertiary,銀座桜通り,False,,False,42.556463346844566,2,,,
1105152856,258071908,0,"[1070720649, 1070720646]",tertiary,銀座桜通り,False,,True,53.10542090941283,2,,,
1105152881,499185617,0,690198421,tertiary,銀座桜通り,False,,False,24.025374228023175,,,,
1105152881,510591085,0,39629431,unclassified,銀座レンガ通り,True,,False,103.28917037145503,,,,
1105152881,1105152856,0,1070720646,tertiary,銀座桜通り,False,,True,42.556463346844566,2,,,
1105152884,1105125628,0,74314550,residential,,True,,False,29.530931085756336,,,,
1105152891,1105152927,0,95277523,unclassified,銀中通り,True,,False,38.01305133310183,,,,
1105152894,1105125509,0,95277526,unclassified,銀座柳通り,True,,False,46.36761662458905,,,,
1105152894,304153036,0,568498791,trunk,中央通り,True,15,False,128.24871714909014,2,50,,
1105152915,1105152954,0,74314548,residential,木挽町通り,True,,False,137.37081199621227,,30,,
1105152915,951247034,0,342481197,tertiary,,True,,False,37.73897561901957,,,,
1105152917,878518784,0,74314564,residential,,False,,False,39.060080831631964,,,,
1105152917,1070638257,0,240392347,unclassified,木挽町仲通り,True,,False,57.6973216064674,,,,
1105152918,1105152884,0,97685664,residential,,True,,False,73.55556007587563,,,,
1105152918,1105125419,0,342481198,unclassified,,True,,False,32.69594460020647,,,,
1105152920,1105152894,0,95277526,unclassified,銀座柳通り,True,,False,6.786396712083074,,,,
1105152920,258071908,0,1026056857,trunk,中央通り,True,15,False,137.0872637155148,2,50,,
1105152922,2135828675,0,690198420,tertiary,銀座桜通り,False,,False,67.07961281490495,,,,
1105152922,473470198,0,690198420,tertiary,銀座桜通り,False,,True,48.00604333172544,,,,
1105152927,835996339,0,95277523,unclassified,銀中通り,True,,False,12.370130933228127,,,,
1105152927,1130958355,0,172598640,primary,晴海通り,True,304,False,60.53531180355778,3,,,
1105152945,31255186,0,968060906,tertiary,銀座桜通り,False,,False,60.2029678229294,,,,
1105152951,473470166,0,95277526,unclassified,銀座柳通り,True,,False,46.16948692853496,,,,
1105152951,1105152922,0,95277528,unclassified,,True,,False,70.40518159821546,,,,
1105152954,1130958668,0,342481201,unclassified,松屋通り,True,,False,6.456907647158374,,,,
1130958290,1130958685,0,97685613,tertiary,演舞場通り,False,,True,34.66318386970761,,,,
1130958290,1130958313,0,97685613,tertiary,演舞場通り,False,,False,73.53480105924845,,,,
1130958290,1130958573,0,97685638,unclassified,木挽町通り,True,,False,121.06004973587594,,,,
