u,v,key,osmid,highway,name,oneway,ref,reversed,length,geometry,lanes,maxspeed,bridge,tunnel,width,access
1281077232,11486218046,0,"[112773348, 112772713, 112773552, 112772472, 1237819741]",unclassified,,False,,"[False, True]",1328.7051305966652,"LINESTRING (137.12184 37.4768122, 137.1211304 37.4871567)",,,yes,,,
1281077322,1281147597,0,112772725,unclassified,,False,,True,19.16541818210128,"LINESTRING (137.2426834 37.5161799, 137.242498 37.51609)",,,,,,
1281077322,11489728484,0,112772725,unclassified,,False,,False,350.7647880875314,"LINESTRING (137.2426834 37.5161799, 137.2446874 37.5163104)",,,,,,
1281077322,11489659816,0,1237127164,residential,,False,,False,172.96225883907113,"LINESTRING (137.2426834 37.5161799, 137.2419132 37.5175007)",,,,,,
1281077335,1281082982,0,112770486,primary,大谷狼煙飯田線,False,28,False,312.88873366437423,"LINESTRING (137.2997213 37.5247925, 137.3023945 37.5232804)",2.0,40,,,,
1281077335,1281085816,0,112770486,primary,大谷狼煙飯田線,False,28,True,410.75789857428646,"LINESTRING (137.2997213 37.5247925, 137.2953922 37.5258345)",2.0,40,,,,
1281077335,1281120811,0,1236929985,residential,,False,,False,175.15297767809616,"LINESTRING (137.2997213 37.5247925, 137.3003708 37.5259273)",,,,,,
1281077357,1281073698,0,112770420,residential,,False,,True,246.92716880020208,"LINESTRING (137.3276879 37.4573227, 137.3250851 37.458037)",,,,,,
1281077357,1281092342,0,112771562,residential,,False,,False,272.8312573588057,"LINESTRING (137.3276879 37.4573227, 137.3255159 37.4556309)",,,,,,
1281077357,1281115524,0,112771562,residential,,False,,True,267.5413364287999,"LINESTRING (137.3276879 37.4573227, 137.3292489 37.4560177)",,,,,,
1281077736,4598038942,0,112770767,unclassified,,False,,True,57.076523989916936,"LINESTRING (137.2916359 37.4458421, 137.2915998 37.4453296)",,,,,,
1281077736,11493392579,0,1237428391,residential,,False,,True,37.44158698762251,"LINESTRING (137.2916359 37.4458421, 137.2916405 37.4461788)",,,,,,
1281077736,1281135450,0,112771083,unclassified,,False,,True,197.87736445468383,"LINESTRING (137.2916359 37.4458421, 137.2893956 37.4457967)",,,,,,
1281077736,1281134535,0,112774461,unclassified,,False,,True,51.07076478802647,"LINESTRING (137.2916359 37.4458421, 137.2922144 37.445843)",,,,,,
1281077869,9864719197,0,112770483,tertiary,,False,,True,41.75956750347285,"LINESTRING (137.2538371 37.43273, 137.2534346 37.4329272)",2.0,,,,,
1281077869,4598361978,0,112774407,unclassified,,False,,True,163.90254842817262,"LINESTRING (137.2538371 37.43273, 137.255256 37.4336804)",,,,,,
1281077869,9864719202,0,112770483,tertiary,,False,,False,180.88706322893648,"LINESTRING (137.2538371 37.43273, 137.2556614 37.4321358)",2.0,,,,,
1281077914,4598110322,0,464729379,unclassified,,False,,True,119.49875933063116,"LINESTRING (137.2899818 37.4489721, 137.291235 37.4485658)",,,,,,
1281077914,1281069889,0,464729380,residential,,False,,True,59.57641660034368,"LINESTRING (137.2899818 37.4489721, 137.2893655 37.4490955)",,,,,,
1281077914,4598110319,0,880042048,tertiary,,False,,False,63.03138178294128,"LINESTRING (137.2899818 37.4489721, 137.2897987 37.4484259)",2.0,40,,,,
1281077914,1281137017,0,880042048,tertiary,,False,,True,114.26041302128178,"LINESTRING (137.2899818 37.4489721, 137.2893332 37.4498361)",2.0,40,,,,
1281077970,4049897265,0,112770868,tertiary,国道249号旧道,False,,False,152.50561748212175,"LINESTRING (137.2593098 37.4333513, 137.2578724 37.4326017)",2.0,40,,,,
1281077970,1281098121,0,112771844,tertiary,,False,,True,45.37921011341547,"LINESTRING (137.2593098 37.4333513, 137.2596522 37.4330498)",2.0,,,,,
1281077970,4598361987,0,112774343,tertiary,国道249号旧道,False,,True,18.77628894988881,"LINESTRING (137.2593098 37.4333513, 137.2594786 37.433454)",2.0,40,,,,
1281077997,1281144640,0,112771322,secondary,高屋出田線,False,285,False,29.569601542054425,"LINESTRING (137.242075 37.471466, 137.2422786 37.4712548)",2.0,,,,,
1281077997,1281080419,0,112771322,secondary,高屋出田線,False,285,True,3288.5939094695905,"LINESTRING (137.242075 37.471466, 137.2327345 37.4920071)",2.0,,,,,
1281077997,11486761082,0,"[1236917138, 1236917140, 1236917141]",unclassified,,False,,False,58.12726156791482,"LINESTRING (137.242075 37.471466, 137.2414497 37.4713156)",,,yes,,,
1281078064,1281146049,0,112771095,tertiary,,False,,True,7.232243880798961,"LINESTRING (137.2933076 37.4446873, 137.2932257 37.4446858)",2.0,,,,,
1281078064,11500570590,0,112771436,unclassified,,False,,False,48.55993736670233,"LINESTRING (137.2933076 37.4446873, 137.2933653 37.444253)",,,,,,
1281078064,4598038945,0,112771095,tertiary,,False,,False,114.4747458546866,"LINESTRING (137.2933076 37.4446873, 137.2946006 37.444713)",2.0,,,,,
1281078071,1281074342,0,112770618,unclassified,,False,,True,336.32274079335855,"LINESTRING (137.1414158 37.4751952, 137.1401629 37.4732995)",,,,,,
1281078071,1281110555,0,"[112774041, 112774405]",unclassified,,False,,False,321.7225643674025,"LINESTRING (137.1414158 37.4751952, 137.1391537 37.4747796)",,,,,,
1281078071,1281088539,0,"[112775040, 112773700, 112774246, 112770823, 112774891]",unclassified,,False,,False,2525.8214355658265,"LINESTRING (137.1414158 37.4751952, 137.160034 37.487484)",,,,,,
1281078096,1281107042,0,112772099,unclassified,,False,,False,807.8408869383223,"LINESTRING (137.1460705 37.4457326, 137.1400291 37.4504103)",,,,,,
1281078096,3763111024,0,1237487322,primary,珠洲里線,False,40,False,77.89897331592837,"LINESTRING (137.1460705 37.4457326, 137.1452397 37.445642)",2.0,,,,,
