u,v,key,osmid,highway,oneway,reversed,length,bridge,name,ref,lanes,maxspeed,tunnel,width,est_width,access
1281071040,1281131571,0,112771933,tertiary,False,True,505.7330941080195,,,,,,,,,
1281071040,1281131571,1,"[1236923329, 1236923330, 1238044496, 1238044497, 112772080, 112774645]",unclassified,False,"[False, True]",775.9736807895466,yes,,,,,,,,
1281071042,10874967643,0,112772926,tertiary,False,True,18.128110000425217,,,,2,40,,,,
1281071042,1281086133,0,112772560,tertiary,False,False,204.77979363169132,,,,2,,,,,
1281071042,10874967636,0,"[112773475, 464735190]",tertiary,False,False,178.482873701527,,,,2,,,,,
1281071064,1281148410,0,112771852,unclassified,False,False,278.9084121538519,,,,,,,,,
1281071064,4599390334,0,112772277,unclassified,False,False,188.27450949830364,,,,,,,,,
1281071064,1281080090,0,112773368,unclassified,False,True,122.39220837640032,,,,,,,,,
1281071076,4598361980,0,112773468,trunk,False,False,96.92253379559725,,国道249号,249,2,50,,,,
1281071076,1281131454,0,112773468,trunk,False,True,126.04933834765085,,国道249号,249,2,50,,,,
1281071076,1281130066,0,112775042,unclassified,False,False,82.21776892872529,,,,,,,,,
1281071076,4598361985,0,464760927,residential,False,False,46.04937782768067,,,,,,,,,
1281071086,1281071938,0,112770486,primary,False,False,952.6651222460941,,大谷狼煙飯田線,28,2,40,,,,
1281071086,1281069019,0,112770486,primary,False,True,115.68539319281822,,大谷狼煙飯田線,28,2,40,,,,
1281071086,1281076827,0,112774385,unclassified,False,False,218.30971069628822,,,,,,,,,
1281071100,1281143213,0,1237237592,residential,False,False,67.79000759107181,,,,,,,,,
1281071100,1281143213,1,"[112771819, 112772870]",residential,False,False,150.96159971006054,,,,,,,,,
1281071100,1281096762,0,112771819,residential,False,True,174.08818775132193,,,,,,,,,
1281071151,1281101704,0,112773216,residential,False,True,37.86820082389862,,,,,,,,,
1281071264,1281094369,0,112770896,unclassified,False,False,37.46475394230043,,,,,,,,,
1281071264,1281087517,0,112774781,unclassified,False,True,130.89540789006588,,,,,,,,,
1281071264,1281142667,0,"[112770770, 926075758, 926075759]",unclassified,False,False,468.1629458330947,yes,,,,,,,,
1281071350,1281146768,0,112773347,tertiary,False,False,98.37358305391132,,,,2,,,,,
1281071350,4049887665,0,112771285,tertiary,False,True,84.37466666979414,,,,2,,,,,
1281071350,1281098121,0,112773347,tertiary,False,True,83.27360967074014,,,,2,,,,,
1281071379,11492273250,0,112773484,trunk,False,False,310.5238383992013,,国道249号,249,2,60,,,,
1281071379,1281135144,0,112773484,trunk,False,True,122.30841578817399,,国道249号,249,2,60,,,,
1281071379,1281076085,0,"[112771457, 737900706, 737900707, 737900708, 737900709, 112774184, 112773911]",unclassified,False,"[False, True]",426.1950343319601,yes,,,,,,,,
1281071422,1281134333,0,112771577,unclassified,False,True,135.2773714748724,,,,,,,,,
1281071457,1281073679,0,"[112773522, 112770806]",tertiary,False,"[False, True]",150.82262584093797,,,,,,,,,
1281071457,1281100047,0,112771464,tertiary,False,False,80.15320275244176,,,,,,,,,
1281071457,1281146827,0,112772134,unclassified,False,True,873.1987752097855,,,,,,,,,
1281071478,11492023295,0,112770881,unclassified,False,False,187.38160488756796,,,,,,,,,
1281071478,1281137251,0,112772882,primary,False,False,232.2902656330308,,珠洲穴水線,26,2,40,,,,
1281071478,1281130587,0,"[112772882, 1238085172]",primary,False,True,88.31361778515495,,珠洲穴水線,26,2,40,,,,
1281071496,4414562204,0,464735203,residential,False,False,38.19241959401438,,,,,,,,,
1281071496,8425184547,0,464735203,residential,False,True,18.62160178320332,,,,,,,,,
1281071496,4598154694,0,464735204,unclassified,False,False,40.36233627672876,,,,,,,,,
1281071496,8425184548,0,464735204,unclassified,False,True,73.24325685353135,,,,,,,,,
1281071528,1281071904,0,"[1238085168, 112772882, 112774373]",primary,False,False,363.2730888641659,yes,珠洲穴水線,26,2,40,,,,
1281071528,1281075820,0,112772882,primary,False,True,709.9446209388843,,珠洲穴水線,26,2,40,,,,
1281071528,1281101838,0,"[112775013, 112770600, 112771692, 112773753, 112771034, 112774527]",unclassified,False,"[False, True]",816.6721563865476,yes,,,,,,,,
1281071539,1281076871,0,112770670,residential,False,True,20.616234001629326,,,,,,,,,
1281071539,1281096843,0,112773563,residential,False,True,45.016923423933285,,,,,,,,,
1281071539,1281069755,0,112773770,residential,False,True,116.3905372006602,,,,,,,,,
1281071539,11486093928,0,1236837235,residential,False,False,101.26417841771185,,,,,,,,,
1281071563,1281137426,0,112770615,unclassified,False,False,36.211361732710266,,,,,,,,,
1281071563,1281069889,0,112771158,unclassified,False,True,182.85525087233123,,,,,,,,,
1281071563,1281084533,0,112774001,unclassified,False,True,93.77914489032639,,,,,,,,,
1281071586,1281116513,0,112771350,unclassified,False,True,216.27322712936797,,,,,,,,,
1281071586,1281097860,0,112771765,unclassified,False,False,163.4311176905369,,,,,,,,,
1281071586,1281133502,0,112771765,unclassified,False,True,406.4941552806024,,,,,,,,,
1281071632,1281070696,0,112772998,unclassified,False,True,196.74592696210738,,,,,,,,,
1281071632,5233994298,0,"[1237161336, 541229521]",primary,False,True,371.4755981617528,,大谷狼煙飯田線,28,2,40,,,,
1281071632,11490276039,0,"[1237186967, 1237265195, 1237186964, 1237186965, 541221079, 1330588284]","['unclassified', 'primary']",False,False,2183.3179051417605,,大谷狼煙飯田線,28,2,40,,,,
1281071670,4598361987,0,112774343,tertiary,False,False,71.19450606507182,,国道249号旧道,,2,40,,,,
1281071670,1281117052,0,112772626,tertiary,False,True,193.18248731305476,,国道249号旧道,,2,40,,,,
1281071670,1281144424,0,112774978,residential,False,False,136.22925733431083,,,,,,,,,
1281071820,11493056647,0,112770513,unclassified,False,False,371.69910903615755,,,,,,,,,
1281071820,11491338239,0,"[737900704, 737900705, 112771372]",residential,False,False,293.35711219845166,yes,,,,,,,,
1281071820,1281116112,0,112771499,unclassified,False,True,164.68515031261836,,,,,,,,,
1281071830,1281103198,0,1237270379,unclassified,False,False,49.90631288359609,,,,,,,,,
1281071830,1281137097,0,112771513,unclassified,False,True,78.31974065409861,,,,,,,,,
1281071830,1281079192,0,112772143,unclassified,False,False,87.86086456276425,,,,,,,,,
1281071850,1281124997,0,"[112773832, 112770682, 112774635, 112774132]","['unclassified', 'residential']",False,"[False, True]",1058.6225265214593,,,,,,,,,
1281071874,1281133650,0,112771342,unclassified,False,False,416.42477693025893,,,,,,,,,
1281071874,1281074765,0,112772867,unclassified,False,True,312.05060521562183,,,,,,,,,
1281071874,1281145697,0,112773879,unclassified,False,True,363.11500706392235,,,,,,,,,
1281071888,1281074058,0,112770799,tertiary,False,True,151.55419130288416,,,,2,,,,,
1281071888,1281147208,0,112772254,tertiary,False,False,422.4475872138237,,,,,,,,,
1281071888,1281084740,0,112772969,tertiary,False,False,199.27944248929302,,,,2,,,,,
1281071904,1281101838,0,1250108295,unclassified,False,False,21.624756881404274,,,,,,,,,
1281071904,1281129004,0,"[112771521, 112772421, 112773428, 112773822, 112771743]",primary,False,False,3245.80694491202,yes,珠洲穴水線,26,2,,yes,,,
1281071904,1281071528,0,"[1238085168, 112772882, 112774373]",primary,False,True,363.2730888641659,yes,珠洲穴水線,26,2,40,,,,
1281071912,1281141992,0,112771521,primary,False,False,456.55904845347766,,珠洲穴水線,26,2,,,,,
1281071912,1281076318,0,112771521,primary,False,True,433.60243735207774,,珠洲穴水線,26,2,,,,,
1281071912,1281069767,0,112773907,unclassified,False,True,1003.7891412084085,,,,,,,,,
1281071938,1281095307,0,112770486,primary,False,False,313.73118558880697,,大谷狼煙飯田線,28,2,40,,,,
1281071938,1281071086,0,112770486,primary,False,True,952.6651222460938,,大谷狼煙飯田線,28,2,40,,,,
1281071938,1281109979,0,544692807,residential,False,True,214.6779972565134,,,,,,,,,
1281072038,1281126968,0,"[112772248, 112771881, 112774738, 112770577]",residential,False,"[False, True]",737.2388464263995,yes,,,,,,,,
1281072038,1281084816,0,1237118764,primary,False,False,392.49373830530425,,折戸飯田線,52,2,,,,,
1281072038,1281078757,0,1237118764,primary,False,True,17.793318979582565,,折戸飯田線,52,2,,,,,
1281072040,1281129721,0,112774711,unclassified,False,False,208.8598944372336,,,,,,,,,
1281072040,1281086027,0,"[628961103, 1236917142, 628961095]",tertiary,False,False,1880.8612525255119,yes,珠洲広域農道,,2,,,,,
1281072040,5938306199,0,628961095,tertiary,False,True,1051.466657088449,,珠洲広域農道,,2,,,,,
1281072293,11486507916,0,"[112774788, 112771604, 112772957]",unclassified,False,False,79.0962501078628,,,,,,,,,
1281072293,11486507916,1,1236887938,unclassified,False,False,60.78810244444638,,,,,,,,,
1281072293,1281083104,0,112774788,unclassified,False,True,333.20146570092527,,,,,,,,,
1281072325,11486937161,0,112770556,unclassified,False,False,206.338710683163,,,,,,,,,
1281072325,11486765637,0,112773212,unclassified,False,False,21.7565372974868,,,,,,,,,
1281072325,1281091197,0,112773212,unclassified,False,True,101.9426162744874,,,,,,,,,
1281072391,1281136495,0,112771974,tertiary,False,True,87.82824017709748,,,,,,,,,
1281072391,10874967681,0,112773196,tertiary,False,False,70.28761262531665,,,,2,,,,,
1281072391,1281086133,0,112773196,tertiary,False,True,73.83061395594846,,,,2,,,,,
1281072545,11491868582,0,112771089,residential,False,True,121.35059240326576,,,,,,,,,
1281072545,1281119968,0,112771309,unclassified,False,False,120.28929505831239,,,,,,,,,
1281072545,1281133435,0,112773371,unclassified,False,True,41.59915665053554,,,,,,,,,
1281072564,1281069227,0,112773378,tertiary,False,False,278.3907196260769,,,,2,,,,,
1281072564,11491715143,0,112774020,unclassified,False,False,44.39365831542903,,,,,,,,,
1281072564,1281148487,0,112771951,unclassified,False,True,86.93749883016721,,,,,,,,,
1281072564,1281137097,0,112773378,tertiary,False,True,437.78012740964846,,,,2,,,,,
1281072592,1281109611,0,112771450,tertiary,False,False,611.0666351812822,,国道249号旧道,,2,40,,,,
1281072592,1281088474,0,112771450,tertiary,False,True,276.2191444681477,,国道249号旧道,,2,40,,,,
1281072592,1281107971,0,112774760,unclassified,False,False,341.10967373422113,,,,,,,,,
1281072608,1281088029,0,112772656,unclassified,False,False,277.8083330867905,,,,,,,,,
1281072613,1281148389,0,112771991,residential,False,True,55.163356497488664,,,,,,,,,
1281072613,1281081510,0,544702438,primary,False,False,115.81095284071901,,大谷狼煙飯田線 引砂バイパス,28,2,,,,,
1281072613,1281138548,0,544702438,primary,False,True,140.09799118950716,,大谷狼煙飯田線 引砂バイパス,28,2,,,,,
1281072613,11491348178,0,1237229748,residential,False,False,85.73601063396453,,,,,,,,,
1281072753,1281080920,0,112771186,unclassified,False,True,120.64910815991685,,,,,,,,,
1281072753,1281076349,0,112771260,residential,False,True,138.75154596854946,,,,,,,,,
1281072753,1281135014,0,"[112771656, 112771497]",unclassified,False,False,1011.7436467087376,,,,,,,,,
1281072772,1281096673,0,112770649,unclassified,False,False,248.89036121460975,,,,,,,,,
